"date"	"bassin"	"comptage"	"sel"	"temperature"	"o2"	"niveau"	"annee"	"dateJ"
"2015-03-19"	"J"	5	29.075	13.675	10.025	11.5	2015	77
"2015-03-19"	"KL"	7	25.4	15.45	10.45	22	2015	77
"2015-03-27"	"B"	87	13.7904761904762	13.1714285714286	10.2809523809524	17.1904761904762	2015	85
"2015-03-27"	"C"	8	19.052380952381	11.6142857142857	8.58095238095238	4	2015	85
"2015-03-27"	"D"	8	21.0904761904762	14.6952380952381	11.1714285714286	19.047619047619	2015	85
"2015-03-27"	"G"	0	23.0857142857143	14.3952380952381	12.2714285714286	19.2619047619048	2015	85
"2015-03-27"	"H"	1	29.2309523809524	14.7404761904762	11.7309523809524	24.9047619047619	2015	85
"2015-03-27"	"I"	10	25.4142857142857	14.2142857142857	11.5095238095238	80	2015	85
"2015-03-27"	"J"	18	22.3571428571429	14.1833333333333	11.1214285714286	17.2380952380952	2015	85
"2015-03-27"	"KL"	8	22.652380952381	13.852380952381	13.547619047619	18.5714285714286	2015	85
"2015-04-02"	"B"	20	20.3333333333333	14.2	9.56666666666667	18.3333333333333	2015	91
"2015-04-02"	"C"	4	22.3666666666667	12.9	7.86666666666667	4	2015	91
"2015-04-02"	"D"	145	25.8333333333333	15.8666666666667	11	19.3333333333333	2015	91
"2015-04-02"	"G"	4	27.2	15.5666666666667	12.4	17.8333333333333	2015	91
"2015-04-02"	"H"	3	33.3166666666667	15.8833333333333	11.6166666666667	21.3333333333333	2015	91
"2015-04-02"	"I"	43	26.7	15.5	10.3666666666667	80	2015	91
"2015-04-02"	"J"	17	27.8	15.2833333333333	10.65	15.6666666666667	2015	91
"2015-04-02"	"KL"	15	24.7666666666667	15.3666666666667	12.6333333333333	16	2015	91
"2015-04-09"	"B"	18	22.38	15.04	9.72	13.4	2015	98
"2015-04-09"	"C"	7	26.62	13.36	7.78	4.4	2015	98
"2015-04-09"	"D"	6	29.14	15.78	9.44	22.6	2015	98
"2015-04-09"	"G"	5	28.92	15.9	11.47	16.9	2015	98
"2015-04-09"	"H"	18	36.17	16.45	11.45	22.5	2015	98
"2015-04-09"	"I"	27	27.2553191489362	16.531914893617	9.79361702127659	80	2015	98
"2015-04-09"	"J"	13	28.43	15.84	10.96	15.3	2015	98
"2015-04-09"	"KL"	10	25.94	16.12	11.94	15.8	2015	98
"2015-04-16"	"B"	14	35.6	16.6	7.9	21	2015	105
"2015-04-16"	"C"	4	30.1	15.9	6.2	4	2015	105
"2015-04-16"	"D"	8	36.9	18.6	10.6	20	2015	105
"2015-04-16"	"G"	8	36.8	18.3	12.7	14.5	2015	105
"2015-04-16"	"H"	19	42.85	18.55	11.35	13	2015	105
"2015-04-16"	"I"	18	29.7	18.5	7.7	80	2015	105
"2015-04-16"	"J"	21	40.5	17.85	9.55	12	2015	105
"2015-04-16"	"KL"	62	29.7	18.9	10.5	10	2015	105
"2015-04-30"	"B"	13	36.9	18.1	8.7	8	2015	119
"2015-04-30"	"C"	11	38.8	16.3	6.4	5	2015	119
"2015-04-30"	"D"	36	42.4	17.7	6.8	28	2015	119
"2015-04-30"	"G"	40	38.7	18.45	10.3	13	2015	119
"2015-04-30"	"H"	57	47.6	19.3	11	18	2015	119
"2015-04-30"	"I"	19	31.8333333333333	19.9333333333333	8	80	2015	119
"2015-04-30"	"J"	14	38.9	18.6	10.6	12	2015	119
"2015-04-30"	"KL"	73	31.4	19.9	9.3	11	2015	119
"2015-05-07"	"B"	8	42.875	19	8.875	10.75	2015	126
"2015-05-07"	"C"	18	38.4	17.8333333333333	6.68333333333333	3.75	2015	126
"2015-05-07"	"D"	32	52.625	19.575	7.125	24.75	2015	126
"2015-05-07"	"G"	0	44.3125	19.5125	10.025	12.375	2015	126
"2015-05-07"	"I"	12	32.9	20.65	8.15	80	2015	126
"2015-05-07"	"J"	25	43.8875	19.675	10.1875	11.375	2015	126
"2015-05-07"	"KL"	25	35.95	21.2	9.375	10.75	2015	126
"2015-05-14"	"B"	3	48.725	20.2125	4.9375	19.875	2015	133
"2015-05-14"	"C"	3	56.28	19.7133333333333	6.79333333333333	3.5	2015	133
"2015-05-14"	"D"	10	59.15	21.0875	9.325	19.375	2015	133
"2015-05-14"	"G"	7	51.7875	20.8625	6.53125	14.4375	2015	133
"2015-05-14"	"I"	3	32.6	22.5375	5.7125	80	2015	133
"2015-05-14"	"J"	22	50.975	21.5	7.725	11.25	2015	133
"2015-05-14"	"KL"	17	39.0125	23.7	9.25	9.125	2015	133
"2015-05-21"	"B"	1	50.45	21.65	5.68	19.1	2015	140
"2015-05-21"	"C"	2	51.31	21.16	7.12	3.7	2015	140
"2015-05-21"	"D"	8	57.53	22	8.6	19.4	2015	140
"2015-05-21"	"G"	1	51.35	22.13	6.78	15.75	2015	140
"2015-05-21"	"H"	1	71.92	23.35	8.825	12.55	2015	140
"2015-05-21"	"I"	6	33.18	23.31	5.63	81.5	2015	140
"2015-05-21"	"J"	20	47.555	22.545	7.94	11.35	2015	140
"2015-05-21"	"KL"	29	40.62	24.85	8.48	10.8	2015	140
"2015-05-28"	"B"	3	60.8	21.7	9.4	19	2015	147
"2015-05-28"	"C"	2	54.4636363636364	22.0636363636364	8.26363636363636	0	2015	147
"2015-05-28"	"D"	12	83.3	25.2	8.1	15	2015	147
"2015-05-28"	"G"	0	61.15	22.7	9.2	10.5	2015	147
"2015-05-28"	"I"	3	36.1	22.8	8.6	80	2015	147
"2015-05-28"	"J"	23	58.85	22.9	8.95	9.5	2015	147
"2015-05-28"	"KL"	3	49.6	25.1	9.6	10	2015	147
