ID	altitude_mediane	altitude_min	altitude_max	saison_temperature	temp_trim_chaud	temp_trim_froid	saison_precip	precip_trim_humide	precip_trim_sec
ID858	221	122	461	57.665	21.1	6.2	23	217	121.5
ID859	149.5	55	387	57.665	21.3	6.5	25	218	116
ID860	60	16	258	57.65	21.7	6.8	28	219	110
ID861	140	40	331	57.52	21.2	6.5	28	227	116
ID862	83	22	322	57.505	21.3	6.6	30	234	113
ID863	21	0	145	57.49	21.5	6.7	32	239	111
ID864	0	0	12	57.7	21.5	6.6	33	247	111
ID866	1	0	2	58.11	21.7	6.8	34	248	105
ID867	1	0	3	58.53	21.8	6.8	34	247	102
ID868	1	0	2	58.77	21.9	6.8	35	244	99
ID869	0	0	2	59.075	21.9	6.7	34	240	96
ID870	1	0	4	59.06	21.8	6.7	34	235	93
ID871	3	1	21	59.32	21.8	6.6	34	228	90
ID872	22	0	89	59.6	21.6	6.4	34	222	89
ID894	541	325	826	57.12	19.2	4.6	17	229	158
ID895	532.5	204	771	57.14	19.4	4.8	17	228	152
ID896	188.5	68	615	57.54	21.25	6.4	22	213	118
ID897	120.5	20	276	57.55	21.6	6.8	24	210	112.5
ID898	101	32	176	57.47	21.7	6.9	26	213	111
ID899	67	26	105	57.38	21.7	7	27	215	108
ID900	41.5	4	120	57.32	21.8	7.1	29	219	107
ID901	33	0	159	57.165	21.7	7	30	224	107
ID902	16	0	216	57.16	21.7	7	31	230	107
ID909	1	0	2	58.66	21.9	6.8	35	237	94
ID910	1	0	2	58.715	21.9	6.8	35	232	90
ID911	1	0	2	58.82	21.8	6.8	35	226	87
ID912	2	0	53	59.215	21.8	6.6	35	220	84
ID913	38	0	120	59.325	21.6	6.4	35	217	82
ID927	202.5	166	280	57.66	20.4	5.5	15	214	157
ID928	189	151	471	57.7	20.5	5.65	16	210	152
ID929	348.5	158	652	57.33	19.7	5	16	224	165
ID930	489	210	782	57.13	19.15	4.45	15	229	172.5
ID931	461.5	198	808	57.15	19.3	4.6	16	228	162.5
ID932	537.5	195	916	56.975	19.2	4.6	16	230	164
ID933	410.5	148	906	57.27	20	5.3	18	223.5	143.5
ID934	330.5	74	611	57.39	20.55	5.8	20	219	132
ID935	204.5	63	437	57.45	21.2	6.4	22	214	118.5
ID936	137	35	281	57.41	21.5	6.8	24	211	112
ID937	67.5	3	203	57.34	21.9	7.1	26	209.5	106
ID938	43.5	9	109	57.17	22	7.3	27	211	104.5
ID939	32.5	4	69	57.115	21.9	7.3	28	214	103
ID940	11	3	52	56.885	22	7.35	30	217	102
ID941	1	0	27	56.835	21.9	7.3	31	221	102
ID951	0	0	1	58.465	21.9	6.9	36	225	84
ID953	50	0	162	58.995	21.6	6.5	35	216.5	80
ID967	284.5	188	361	57.57	20	5.2	14	221	164
ID968	173	137	369	57.51	20.6	5.8	16	207	148
ID969	147.5	123	243	57.51	20.8	6	18	208	138
ID970	138	106	297	57.42	20.8	6.1	20	212.5	129
ID971	143.5	89	306	57.36	20.9	6.1	21	214	124
ID972	148.5	65	302	57.36	21	6.2	22	213	121
ID973	94	54	175	57.36	21.5	6.8	23	209	113.5
ID974	59.5	31	191	57.405	21.8	7	24	206	108.5
ID975	60.5	19	278	57.305	21.9	7.2	25	207	106
ID976	22.5	7	80	57.165	22.1	7.4	26	206	101
ID977	8.5	2	91	57.11	22.2	7.5	27	207	100
ID978	16.5	2	85	56.91	22.1	7.5	29	210	100
ID979	4	1	29	56.9	22.1	7.5	29	212	99
