"PLOT"	"X5_min"	"X10_min"	"X15_min"	"obs"	"total"	"PROPFOR"	"PROPNATFOR"	"SHA500"	"VEGH"	"altitude"	"hour_decimal"	"observer"	"region"	"zone"	"X"	"Y"
1394	0	0	0	0	0	0.840825162358334	0	0.438299035	15	136	11.5	"JM"	"Plain"	"Eyrewell_Centre"	2454798	5754625
1395	0	0	0	0	0	1	0	0	15	122	11.08	"JM"	"Plain"	"Eyrewell_Centre"	2456704	5752460
1396	0	0	0	0	0	1	0	0	25	123	10.58	"JM"	"Plain"	"Eyrewell_Centre"	2456577	5750986
1397	0	0	0	0	0	0.469651086240948	0	1.030792105	4	135	10.08	"JM"	"Plain"	"Eyrewell_Centre"	2453856	5750508
1398	0	0	0	0	0	0.680208863983698	0	0.626711922	4	142	9.63	"JM"	"Plain"	"Eyrewell_Centre"	2453640	5751165
1399	0	0	0	0	0	0.954429735234216	0	0.185259555	15	141	9	"JM"	"Plain"	"Eyrewell_Centre"	2454000	5753644
1400	0	0	0	0	0	1	0	0	15	132	8.33	"JM"	"Plain"	"Eyrewell_Centre"	2455506	5753481
1401	0	0	0	0	0	0.707956715467855	0	0.603971083	15	120	7.88	"JM"	"Plain"	"Eyrewell_Centre"	2456918	5753391
1402	0	0	0	0	0	0.630205017190883	0	0.880116898	15	116	7.4	"JM"	"Plain"	"Eyrewell_Centre"	2457798	5754672
1403	0	0	0	0	0	0.237173774665818	0.553945249597423	1.211122859	4	118	7.33	"SL"	"Plain"	"Eyrewell_Centre"	2457637	5755220
1404	0	0	0	0	0	0.871657754010695	0	0.383223191	15	120	7.83	"SL"	"Plain"	"Eyrewell_Centre"	2456849	5753246
1405	0	0	0	0	0	1	0	0	8	132	8.28	"SL"	"Plain"	"Eyrewell_Centre"	2455371	5753245
1406	0	0	0	0	0	0.944748567791216	0	0.213696626	4	141	8.92	"SL"	"Plain"	"Eyrewell_Centre"	2454034	5753467
1409	0	0	0	0	0	1	0	0	15	122	10.47	"SL"	"Plain"	"Eyrewell_Centre"	2456461	5750768
1410	0	0	0	0	0	1	0	0	8	124	11.05	"SL"	"Plain"	"Eyrewell_Centre"	2456495	5752305
1411	0	0	0	0	0	0.896332144676516	0	0.333068133	8	137	11.48	"SL"	"Plain"	"Eyrewell_Centre"	2454627	5754518
1413	0	0	0	0	0	0.71441303794245	0	0.598152883	4	113	11.52	"SL"	"Plain"	"Eyrewell_Centre"	2458123	5754086
1426	0	0	0	0	0	1	1	0	15	546	10.75	"JM"	"Banks"	"Mt_Herbert"	2489495	5722993
1427	0	0	0	0	0	0.769913749365804	1	0.545896662	15	681	11.5	"JM"	"Banks"	"Mt_Herbert"	2489500	5723500
1428	0	0	0	0	0	0.15365014651548	0.000829187396351575	0.851478666	15	520	7.38	"EB"	"Foot_hills"	"Abners_Head"	2427328	5755569
1432	0	0	0	0	0	0.204406520631686	0.26417445482866	1.105504455	25	371	9.88	"EB"	"Foot_hills"	"Abners_Head"	2426238	5755339
1434	0	0	0	0	0	0.229113601630158	0	1.163671082	15	499	11.45	"EB"	"Foot_hills"	"Abners_Head"	2425170	5756051
1435	0	0	0	0	0	0.0590042237296813	0	0.227599258	25	379	12.07	"EB"	"Foot_hills"	"Abners_Head"	2425942	5756500
1441	0	0	0	0	0	0.283239938869078	0.632194244604317	0.782296209	4	377	9.67	"DH"	"Foot_hills"	"Abners_Head"	2427624	5756316
1442	0	0	0	0	0	0.108025477707006	0.459905660377358	0.612584572	35	413	10.7	"DH"	"Foot_hills"	"Abners_Head"	2426885	5756150
1448	0	0	0	0	0	0.190700636942675	0.217100868403474	0.742131805	15	323	8.72	"SL"	"Foot_hills"	"Abners_Head"	2427740	5754229
1449	0	0	0	0	0	0.137417218543046	0.309545875810936	0.515182004	15	308	9.25	"SL"	"Foot_hills"	"Abners_Head"	2427693	5753982
1452	0	0	0	0	0	0.169044585987261	0.346646571213263	0.778933896	15	333	10.85	"SL"	"Foot_hills"	"Abners_Head"	2428253	5754416
1456	0	0	0	0	0	0.213194090677534	0	1.007360675	25	426	11.33	"JM"	"Foot_hills"	"Abners_Head"	2425139	5756315
1462	0	0	0	0	0	0.139164756811816	0	0.682979394	15	348	8	"JM"	"Foot_hills"	"Abners_Head"	2429111	5754887
1464	0	0	0	0	0	0.670188391038697	0.110351377018044	0.966786459	4	189	11.98	"EB"	"Banks"	"Port_Hills_North"	2480690	5734822
1469	0	0	0	0	0	0.0304303539597657	0	0.136234953	15	116	10	"JM"	"Plain"	"Charing_Cross"	2445140	5736195
1476	0	0	0	0	0	0.0814871403106697	1	0.687232483	4	864	9.63	"SL"	"Mont"	"Craigieburn"	2405450	5781000
1479	0	0	0	0	0	0.477281405116457	1	0.692114556	8	793	10.97	"SL"	"Mont"	"Craigieburn"	2404800	5781250
1483	0	0	0	0	0	0.53476821192053	1	0.690727571	15	920	9.13	"DH"	"Mont"	"Craigieburn"	2403178	5780324
1484	0	1	1	2	1	0.696794957757812	1	0.613555519	15	936	9.52	"DH"	"Mont"	"Craigieburn"	2403023	5780366
1485	0	0	0	0	0	0.89382337927514	1	0.33844621	15	955	9.95	"DH"	"Mont"	"Craigieburn"	2402747	5780455
1486	1	1	1	3	2	0.807270709032885	1	0.490156351	15	1046	10.5	"DH"	"Mont"	"Craigieburn"	2402378	5780830
1487	0	1	1	2	1	0.770351437699681	1	0.538851347	15	1184	10.97	"DH"	"Mont"	"Craigieburn"	2402581	5781089
1489	0	0	0	0	0	0.707298433320596	1	0.604552931	15	1078	11.75	"DH"	"Mont"	"Craigieburn"	2402802	5781649
1490	0	0	0	0	0	0.63738222561752	1	0.654909513	15	763	11.75	"JM"	"Mont"	"Craigieburn"	2404559	5781128
1491	1	1	1	3	3	0.623806492679822	1	0.662169875	15	783	11.5	"JM"	"Mont"	"Craigieburn"	2404604	5781636
1492	0	0	0	0	0	0.802495861454221	1	0.496922897	15	817	11	"JM"	"Mont"	"Craigieburn"	2404500	5782083
1493	1	1	1	3	2	0.895963326117407	1	0.333862987	15	830	10.5	"JM"	"Mont"	"Craigieburn"	2404280	5782426
1494	1	1	1	3	3	0.99885394116898	1	0.008905855	15	847	10.08	"JM"	"Mont"	"Craigieburn"	2404467	5782619
1495	1	1	1	3	3	0.974398165838747	1	0.119104333	15	854	9.52	"JM"	"Mont"	"Craigieburn"	2404725	5782316
1496	0	0	0	0	0	0.884899414311179	0.981294964028777	0.508594376	15	887	9.08	"JM"	"Mont"	"Craigieburn"	2404993	5782321
1497	1	1	1	3	4	0.760122230710466	0.840871021775544	1.049434049	15	929	8.58	"JM"	"Mont"	"Craigieburn"	2405277	5782356
1498	0	0	0	0	0	0.626177743824803	0.252541683611224	1.303959525	8	1012	8	"JM"	"Mont"	"Craigieburn"	2405730	5782490
1502	1	0	0	1	1	0.843666454487587	1	0.433539738	15	946	9.25	"EB"	"Mont"	"Craigieburn"	2402976	5780740
1503	0	0	0	0	0	0.982040504394345	1	0.08998789	15	1018	9.83	"EB"	"Mont"	"Craigieburn"	2403314	5781409
1504	1	0	0	1	4	0.988155883851248	1	0.064313296	15	952	10.3	"EB"	"Mont"	"Craigieburn"	2403346	5781545
1505	1	1	1	3	2	0.975162399694306	1	0.116311346	15	981	10.88	"EB"	"Mont"	"Craigieburn"	2403206	5781809
1506	0	1	0	1	2	0.860308162485674	1	0.404403686	15	1035	11.4	"EB"	"Mont"	"Craigieburn"	2402991	5781955
1507	0	0	0	0	0	0.788870495352095	1	0.51544934	15	977	11.97	"EB"	"Mont"	"Craigieburn"	2403271	5781025
1508	1	1	0	2	2	0.797020247039348	1	0.504505594	15	631	10.83	"EB"	"Mont"	"Hawdon_Valley"	2408344	5801644
1509	0	0	1	1	1	0.875875238701464	1	0.375063516	15	761	11.67	"EB"	"Mont"	"Hawdon_Valley"	2408617	5801834
1510	1	0	1	2	1	1	1	0	15	843	12.38	"EB"	"Mont"	"Hawdon_Valley"	2408513	5802129
1511	0	0	0	0	0	0.929329571409378	1	0.255369695	15	1038	13.7	"EB"	"Mont"	"Hawdon_Valley"	2408854	5802483
1512	0	0	0	0	0	1	0	0	15	187	9.5	"JM"	"Banks"	"Port_Hills_North"	2480240	5733887
1513	0	0	0	0	0	0.947656647987774	0	0.205358133	15	181	9.53	"SL"	"Banks"	"Port_Hills_North"	2479954	5734157
1514	0	0	0	0	0	0.0220297975296065	0	0.105836933	15	207	9.72	"JM"	"Plain"	"Darfield"	2440390	5748496
